PONTO,ENSAIO,VIA,VARIAVEL,Latitude,Longitude
1,FWD,CE-060,94.2,-3.9976249166666666,-38.61972088888889
1,FWD,CE-060,94.2,-3.997800361111111,-38.61976477777778
1,FWD,CE-060,94.2,-3.9979758055555554,-38.619808666666664
1,FWD,CE-060,94.2,-3.9981512500000003,-38.61985258333333
1,FWD,CE-060,94.2,-3.998326722222222,-38.61989647222222
1,FWD,CE-060,94.2,-3.998502166666667,-38.61994036111111
1,FWD,CE-060,94.2,-3.9986776111111113,-38.61998425
1,FWD,CE-060,94.2,-3.9988530555555557,-38.62002813888889
1,FWD,CE-060,94.2,-3.999028527777778,-38.62007202777778
1,FWD,CE-060,94.2,-3.9992039722222223,-38.62011591666667
1,FWD,CE-060,94.2,-3.9993794166666667,-38.62015980555556
1,FWD,CE-060,94.2,-3.999554861111111,-38.62020369444444
1,FWD,CE-060,94.2,-3.9997303333333334,-38.62024761111111
1,FWD,CE-060,94.2,-3.999905777777778,-38.6202915
1,FWD,CE-060,94.2,-4.000081222222223,-38.62033538888889
1,FWD,CE-060,94.2,-4.000256666666667,-38.62037927777778
1,FWD,CE-060,94.2,-4.000432111111111,-38.62042316666667
1,FWD,CE-060,94.2,-4.000607583333333,-38.62046705555556
1,FWD,CE-060,94.2,-4.000783027777778,-38.62051094444445
1,FWD,CE-060,94.2,-4.000958472222222,-38.62055483333334
1,FWD,CE-060,94.2,-4.001133916666666,-38.62059875
1,FWD,CE-060,94.2,-4.001309388888889,-38.62064263888889
1,FWD,CE-060,94.2,-4.0014848333333335,-38.62068652777778
1,FWD,CE-060,94.2,-4.001660277777778,-38.62073041666667
1,FWD,CE-060,94.2,-4.001835722222222,-38.62077430555556
1,FWD,CE-060,94.2,-4.002011166666667,-38.620818194444446
2,FWD,CE-060,135.7,-4.0021866388888885,-38.620862083333336
2,FWD,CE-060,135.7,-4.002362083333334,-38.620905972222225
2,FWD,CE-060,135.7,-4.002537527777778,-38.62094988888889
2,FWD,CE-060,135.7,-4.0027129722222226,-38.62099377777778
2,FWD,CE-060,135.7,-4.002888444444444,-38.621037666666666
2,FWD,CE-060,135.7,-4.003063888888889,-38.621081555555556
2,FWD,CE-060,135.7,-4.003239333333333,-38.621125444444445
2,FWD,CE-060,135.7,-4.0034147777777775,-38.621169333333334
